split,accuracy,precision,recall,f1,roc_auc
validation,0.9858064516129033,0.9578947368421052,0.9285714285714286,0.9430051813471503,0.9894417146474541
test,0.9896907216494846,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9931972789115646
