split,accuracy,precision,recall,f1,roc_auc
validation,0.9883870967741936,0.989010989010989,0.9183673469387755,0.9523809523809523,0.9978747776806439
test,0.9896907216494846,0.9787234042553191,0.9387755102040817,0.9583333333333334,0.9956354223105172
